Protein,Prediction,SP(Sec/SPI),OTHER,CS Position
NCU08067T0,OTHER,0.00033999999999999997,0.99966,
NCU08068T0,OTHER,0.003341,0.996659,
NCU08069T0,OTHER,0.0011480000000000001,0.9988520000000001,
NCU08070T0,OTHER,0.002982,0.9970180000000001,
NCU08071T0,OTHER,0.004944,0.9950559999999999,
NCU08072T0,SP(Sec/SPI),0.996626,0.0033740000000000003,CS pos: 20-21. ALA-QI. Pr: 0.9033
NCU08073T0,OTHER,0.0008460000000000001,0.9991540000000001,
NCU08074T0,OTHER,0.00143,0.9985700000000001,
NCU08075T0,OTHER,0.042678,0.9573219999999999,
NCU08076T0,OTHER,0.001036,0.998964,
NCU08077T0,OTHER,0.000254,0.9997459999999999,
NCU08078T0,OTHER,0.001035,0.998965,
NCU08079T0,SP(Sec/SPI),0.9048290000000001,0.095171,CS pos: 20-21. CVA-LN. Pr: 0.4993
NCU08080T0,SP(Sec/SPI),0.8771909999999999,0.12280899999999999,CS pos: 20-21. CAA-LL. Pr: 0.5479
NCU16305T0,SP(Sec/SPI),0.709164,0.29083600000000004,CS pos: 20-21. SAA-SV. Pr: 0.2219
NCU08081T0,OTHER,0.024717,0.975283,
NCU08083T0,SP(Sec/SPI),0.9578840000000001,0.042116,CS pos: 21-22. VSA-AL. Pr: 0.4903
NCU08084T0,SP(Sec/SPI),0.992144,0.007856,CS pos: 20-21. ALS-AP. Pr: 0.5852
NCU08085T0,SP(Sec/SPI),0.723219,0.276781,CS pos: 31-32. CTA-QT. Pr: 0.4601
NCU08086T0,OTHER,0.003472,0.9965280000000001,
NCU08087T0,SP(Sec/SPI),0.999152,0.000848,CS pos: 18-19. TLA-RT. Pr: 0.9582
NCU08089T0,OTHER,0.0010550000000000002,0.9989450000000001,
NCU16306T0,SP(Sec/SPI),0.619188,0.380812,CS pos: 26-27. CRC-LG. Pr: 0.3955
NCU08090T0,SP(Sec/SPI),0.9934139999999999,0.006586,CS pos: 20-21. VSA-DL. Pr: 0.9116
NCU10622T0,OTHER,0.000426,0.999574,
NCU08091T0,OTHER,0.001029,0.9989709999999999,
NCU08091T1,OTHER,0.00036,0.99964,
NCU08092T0,OTHER,0.001224,0.998776,
NCU08093T0,OTHER,0.09393,0.90607,
NCU08094T0,OTHER,0.000359,0.999641,
NCU08095T0,OTHER,0.001005,0.9989950000000001,
NCU08096T0,OTHER,0.000992,0.999008,
NCU16307T0,OTHER,0.01084,0.98916,
NCU08097T0,SP(Sec/SPI),0.9972129999999999,0.002787,CS pos: 17-18. ASA-AY. Pr: 0.8105
NCU08098T0,OTHER,0.0069099999999999995,0.9930899999999999,
NCU08099T0,OTHER,0.001217,0.998783,
NCU08100T0,SP(Sec/SPI),0.986123,0.013877,CS pos: 27-28. ALA-SS. Pr: 0.6574
NCU08101T0,OTHER,0.000807,0.999193,
NCU08102T0,OTHER,0.000612,0.9993879999999999,
NCU08103T0,OTHER,0.002002,0.9979979999999999,
NCU08105T0,OTHER,0.099834,0.900166,
NCU08106T0,OTHER,0.004509,0.995491,
NCU08107T0,OTHER,0.001158,0.998842,
NCU08109T0,OTHER,0.0018280000000000002,0.998172,
NCU08110T0,OTHER,0.000496,0.9995040000000001,
NCU08111T0,OTHER,0.00036899999999999997,0.9996309999999999,
NCU08112T0,OTHER,0.000662,0.999338,
NCU08113T0,OTHER,0.001123,0.998877,
NCU08114T0,OTHER,0.003035,0.996965,
NCU08115T0,OTHER,0.000151,0.999849,
NCU08116T0,OTHER,0.00084,0.99916,
NCU08117T0,OTHER,0.0015539999999999998,0.998446,
NCU08118T0,OTHER,0.004635,0.9953649999999999,
NCU08119T0,OTHER,0.000453,0.999547,
NCU08120T0,OTHER,0.000436,0.9995639999999999,
NCU08121T0,OTHER,0.0013570000000000001,0.9986430000000001,
NCU10647T2,OTHER,0.001442,0.998558,
NCU10647T1,OTHER,0.001442,0.998558,
NCU10647T0,OTHER,0.001442,0.998558,
NCU16310T0,OTHER,0.002956,0.997044,
NCU07509T0,OTHER,0.0009130000000000001,0.9990870000000001,
NCU07508T0,OTHER,0.000377,0.9996229999999999,
NCU16311T0,OTHER,0.001077,0.998923,
NCU07507T0,OTHER,0.00048600000000000005,0.9995139999999999,
NCU07507T1,OTHER,0.00048600000000000005,0.9995139999999999,
NCU07506T1,OTHER,0.023556,0.9764440000000001,
NCU07506T0,OTHER,0.000521,0.9994790000000001,
NCU07505T0,OTHER,0.000508,0.999492,
NCU07504T0,OTHER,0.048754,0.9512459999999999,
NCU07503T0,OTHER,0.001629,0.9983709999999999,
NCU07502T0,OTHER,0.000352,0.999648,
NCU07501T0,SP(Sec/SPI),0.9616469999999999,0.038353,CS pos: 20-21. SLA-GV. Pr: 0.4211
NCU07500T0,SP(Sec/SPI),0.971159,0.028841000000000002,CS pos: 24-25. ANA-FA. Pr: 0.8653
NCU07499T0,OTHER,0.002694,0.9973059999999999,
NCU07498T0,OTHER,0.005407,0.9945930000000001,
NCU07497T0,OTHER,0.0005650000000000001,0.9994350000000001,
NCU07496T0,OTHER,0.001582,0.998418,
NCU07495T0,OTHER,0.00021400000000000002,0.9997860000000001,
NCU07494T0,OTHER,0.001207,0.998793,
NCU07493T0,OTHER,0.0013779999999999999,0.9986219999999999,
NCU07492T0,OTHER,0.000799,0.999201,
NCU07491T0,OTHER,0.409143,0.590857,
NCU07489T0,OTHER,0.0004,0.9996,
NCU07489T1,OTHER,0.0004,0.9996,
NCU16314T0,OTHER,0.000433,0.999567,
NCU07487T0,OTHER,0.001209,0.998791,
NCU07486T0,SP(Sec/SPI),0.9631930000000001,0.036807,CS pos: 20-21. VAA-HV. Pr: 0.3748
NCU07485T0,OTHER,0.001526,0.998474,
NCU07484T0,SP(Sec/SPI),0.720151,0.27984899999999996,CS pos: 23-24. CVA-RQ. Pr: 0.3848
NCU07483T0,OTHER,0.00091,0.9990899999999999,
NCU07482T0,OTHER,0.00043499999999999995,0.9995649999999999,
NCU07481T0,OTHER,0.000667,0.999333,
NCU07480T0,OTHER,0.001105,0.9988950000000001,
NCU07479T0,OTHER,0.0036090000000000002,0.996391,
NCU07478T0,OTHER,0.001115,0.998885,
NCU07477T0,OTHER,0.000505,0.999495,
NCU07476T0,OTHER,0.001789,0.9982110000000001,
NCU07475T0,SP(Sec/SPI),0.996242,0.0037579999999999996,CS pos: 18-19. VMA-QP. Pr: 0.8435
NCU07474T0,OTHER,0.002332,0.997668,
NCU07473T0,OTHER,0.002916,0.997084,
NCU07472T0,OTHER,0.15917,0.84083,
NCU07471T0,OTHER,0.000711,0.999289,
NCU07468T0,OTHER,0.002176,0.9978239999999999,
NCU07467T0,OTHER,0.000519,0.999481,
NCU07467T1,OTHER,0.000519,0.999481,
NCU07466T0,OTHER,0.001206,0.9987940000000001,
NCU07465T1,OTHER,0.000655,0.999345,
NCU07465T0,OTHER,0.000655,0.999345,
NCU07464T0,OTHER,0.0018559999999999998,0.998144,
NCU07463T0,OTHER,0.001954,0.9980459999999999,
NCU07462T0,SP(Sec/SPI),0.980499,0.019500999999999998,CS pos: 23-24. TLA-FP. Pr: 0.9079
NCU07461T0,OTHER,0.0018399999999999998,0.99816,
NCU07460T0,OTHER,0.001215,0.998785,
NCU07459T0,OTHER,0.000292,0.999708,
NCU16316T0,OTHER,0.001151,0.998849,
NCU07458T0,OTHER,0.0014060000000000001,0.9985940000000001,
NCU07457T0,OTHER,0.001935,0.998065,
NCU07456T0,OTHER,0.003793,0.996207,
NCU07455T0,OTHER,0.047182999999999996,0.952817,
NCU07454T0,SP(Sec/SPI),0.9972639999999999,0.002736,CS pos: 19-20. VNA-KV. Pr: 0.9152
NCU07453T0,OTHER,0.001062,0.9989379999999999,
NCU07452T0,OTHER,0.0020800000000000003,0.99792,
NCU07451T0,OTHER,0.0009050000000000001,0.9990950000000001,
NCU07450T0,OTHER,0.0010199999999999999,0.99898,
NCU07449T0,SP(Sec/SPI),0.930269,0.069731,CS pos: 20-21. IAA-MP. Pr: 0.6374
NCU07448T0,OTHER,0.013965,0.986035,
NCU07447T0,OTHER,0.182869,0.817131,
NCU07446T0,OTHER,0.000429,0.9995709999999999,
NCU07446T1,OTHER,0.000429,0.9995709999999999,
NCU07445T0,OTHER,0.001225,0.998775,
NCU07443T0,OTHER,0.000687,0.9993129999999999,
NCU07442T0,OTHER,0.000935,0.999065,
NCU07441T0,OTHER,0.003522,0.9964780000000001,
NCU07440T0,OTHER,0.000442,0.999558,
NCU07439T0,OTHER,0.000696,0.9993040000000001,
NCU07438T0,OTHER,0.001425,0.998575,
NCU07437T0,OTHER,0.0014349999999999999,0.9985649999999999,
NCU07436T0,OTHER,0.0013779999999999999,0.9986219999999999,
NCU07435T0,OTHER,0.004676,0.995324,
NCU07434T0,OTHER,0.005099,0.994901,
NCU07433T0,OTHER,0.0014869999999999998,0.9985129999999999,
NCU07432T0,OTHER,0.00481,0.99519,
NCU07430T0,OTHER,0.00027400000000000005,0.999726,
NCU07429T0,OTHER,0.000465,0.9995350000000001,
NCU07428T0,OTHER,0.001217,0.998783,
NCU07427T0,OTHER,0.002198,0.9978020000000001,
NCU10006T0,OTHER,0.003232,0.996768,
NCU10007T0,OTHER,0.000595,0.9994049999999999,
NCU10007T1,OTHER,0.000595,0.9994049999999999,
NCU10008T0,OTHER,0.000641,0.999359,
NCU09064T0,OTHER,0.0008990000000000001,0.999101,
NCU09065T0,OTHER,0.001135,0.998865,
NCU09066T0,SP(Sec/SPI),0.780709,0.21929099999999999,CS pos: 28-29. TQQ-AL. Pr: 0.4385
NCU09068T0,OTHER,0.000502,0.999498,
NCU09069T0,OTHER,0.002529,0.9974709999999999,
NCU09069T1,OTHER,0.000692,0.999308,
NCU09070T0,OTHER,0.00045099999999999996,0.999549,
NCU09071T0,OTHER,0.001174,0.998826,
NCU09072T0,SP(Sec/SPI),0.894093,0.10590699999999999,CS pos: 27-28. TNA-WW. Pr: 0.8297
NCU10839T0,OTHER,0.001805,0.998195,
NCU09073T0,OTHER,0.0056359999999999995,0.9943639999999999,
NCU09074T0,OTHER,0.0021850000000000003,0.997815,
NCU09075T0,OTHER,0.000609,0.999391,
NCU09076T0,OTHER,0.000547,0.999453,
NCU09077T0,OTHER,0.0016879999999999998,0.9983120000000001,
NCU09078T0,OTHER,0.001057,0.998943,
NCU09079T0,OTHER,0.002879,0.9971209999999999,
NCU09079T2,OTHER,0.002879,0.9971209999999999,
NCU09079T1,OTHER,0.01614,0.9838600000000001,
NCU09080T0,OTHER,0.000479,0.9995209999999999,
NCU09081T0,OTHER,0.0015550000000000002,0.998445,
NCU09082T0,OTHER,0.003786,0.9962139999999999,
NCU09084T0,OTHER,0.005609,0.994391,
NCU09085T0,OTHER,0.000671,0.9993290000000001,
NCU16318T0,OTHER,0.281667,0.718333,
NCU09087T0,OTHER,0.002153,0.9978469999999999,
NCU09088T0,SP(Sec/SPI),0.914544,0.08545599999999999,CS pos: 17-18. AVA-VP. Pr: 0.4462
NCU09089T0,OTHER,0.0016820000000000001,0.998318,
NCU09089T1,OTHER,0.0016820000000000001,0.998318,
NCU09090T1,OTHER,0.00118,0.99882,
NCU09090T0,OTHER,0.00118,0.99882,
NCU09091T0,OTHER,0.0006389999999999999,0.999361,
NCU09092T0,OTHER,0.000753,0.9992469999999999,
NCU09093T0,OTHER,0.003193,0.996807,
NCU09094T0,OTHER,0.000627,0.999373,
NCU09094T1,OTHER,0.000627,0.999373,
NCU09095T0,OTHER,0.000291,0.9997090000000001,
NCU09096T0,OTHER,0.0037380000000000004,0.9962620000000001,
NCU09097T0,OTHER,0.00131,0.99869,
NCU09098T0,OTHER,0.009337,0.990663,
NCU09099T0,SP(Sec/SPI),0.9688479999999999,0.031152,CS pos: 16-17. VSA-HY. Pr: 0.8090
NCU09100T0,OTHER,0.000579,0.9994209999999999,
NCU09101T0,OTHER,0.000878,0.999122,
NCU09102T0,SP(Sec/SPI),0.9490069999999999,0.050993000000000004,CS pos: 27-28. TSA-FN. Pr: 0.7055
NCU09103T0,OTHER,0.000986,0.999014,
NCU09104T0,OTHER,0.0019440000000000002,0.9980559999999999,
NCU16320T0,SP(Sec/SPI),0.8531569999999999,0.146843,CS pos: 31-32. VFA-AS. Pr: 0.7603
NCU02187T0,SP(Sec/SPI),0.9868950000000001,0.013105,CS pos: 19-20. AEA-SY. Pr: 0.9506
NCU02184T0,SP(Sec/SPI),0.9928620000000001,0.007137999999999999,CS pos: 17-18. ARA-HT. Pr: 0.7482
NCU02184T1,OTHER,0.001186,0.998814,
NCU02183T0,OTHER,0.0013830000000000001,0.998617,
NCU02182T0,OTHER,0.0018,0.9982,
NCU02181T0,OTHER,0.000591,0.999409,
NCU02179T0,OTHER,0.00141,0.99859,
NCU02178T0,OTHER,0.000828,0.999172,
NCU16321T0,OTHER,0.000437,0.9995629999999999,
NCU02177T0,OTHER,0.004871,0.995129,
NCU02176T0,OTHER,0.0043289999999999995,0.9956709999999999,
NCU16323T0,OTHER,0.000642,0.999358,
NCU02175T0,OTHER,0.00515,0.99485,
NCU16325T0,OTHER,0.002934,0.997066,
NCU02174T0,OTHER,0.019794,0.9802059999999999,
NCU02173T0,OTHER,0.000556,0.999444,
NCU02172T0,OTHER,0.001333,0.998667,
NCU02171T0,OTHER,0.0018780000000000001,0.998122,
NCU02170T0,SP(Sec/SPI),0.9627610000000001,0.037239,CS pos: 16-17. ALA-FP. Pr: 0.6946
NCU02169T0,OTHER,0.000637,0.9993629999999999,
NCU02168T0,OTHER,0.002647,0.997353,
NCU02167T0,OTHER,0.006874,0.9931260000000001,
NCU16327T0,OTHER,0.002905,0.9970950000000001,
NCU02165T0,OTHER,0.000687,0.9993129999999999,
NCU02164T0,SP(Sec/SPI),0.762092,0.23790799999999998,CS pos: 25-26. VSA-FL. Pr: 0.6178
NCU02163T0,OTHER,0.004565,0.9954350000000001,
NCU02162T0,OTHER,0.000122,0.999878,
NCU02161T0,OTHER,0.001342,0.998658,
NCU02160T0,OTHER,0.004589,0.995411,
NCU02159T0,OTHER,0.000394,0.999606,
NCU02158T0,OTHER,0.000545,0.999455,
NCU02158T1,OTHER,0.000717,0.999283,
NCU02157T0,OTHER,0.000892,0.999108,
NCU02156T0,OTHER,0.000304,0.9996959999999999,
NCU02155T0,OTHER,0.000412,0.9995879999999999,
NCU16328T0,OTHER,0.000363,0.9996370000000001,
NCU16329T0,OTHER,0.005493,0.9945069999999999,
NCU02153T0,OTHER,0.006763,0.993237,
NCU02152T0,OTHER,0.0008089999999999999,0.9991909999999999,
NCU02152T1,OTHER,0.0008089999999999999,0.9991909999999999,
NCU02151T0,OTHER,0.0006,0.9994,
NCU02150T0,OTHER,0.006117,0.993883,
NCU02150T1,OTHER,0.000992,0.999008,
NCU02149T0,OTHER,0.001361,0.9986389999999999,
NCU02148T0,OTHER,0.000975,0.999025,
NCU16330T0,OTHER,0.006711,0.993289,
NCU02147T0,OTHER,0.000558,0.999442,
NCU02146T0,OTHER,0.001779,0.9982209999999999,
NCU02145T0,OTHER,0.000624,0.999376,
NCU10687T0,SP(Sec/SPI),0.990131,0.009869,CS pos: 16-17. AAA-TF. Pr: 0.4006
NCU02144T0,OTHER,0.001924,0.9980760000000001,
NCU02143T0,OTHER,0.001501,0.998499,
NCU02142T0,OTHER,0.001048,0.9989520000000001,
NCU02139T0,OTHER,0.0020210000000000002,0.9979790000000001,
NCU02138T0,SP(Sec/SPI),0.763262,0.236738,CS pos: 18-19. ALC-VP. Pr: 0.4529
NCU02137T0,OTHER,0.002318,0.997682,
NCU02136T0,OTHER,0.00055,0.99945,
NCU02134T0,OTHER,0.00193,0.9980700000000001,
NCU02133T0,OTHER,0.006229,0.993771,
NCU02132T0,OTHER,0.0017059999999999998,0.998294,
NCU02131T0,OTHER,0.0025510000000000003,0.997449,
NCU02131T1,OTHER,0.0025510000000000003,0.997449,
NCU02130T0,OTHER,0.0035600000000000002,0.99644,
NCU02129T0,OTHER,0.00824,0.9917600000000001,
NCU02128T0,OTHER,0.000352,0.999648,
NCU02128T1,OTHER,0.000352,0.999648,
NCU02127T0,OTHER,0.000489,0.999511,
NCU02126T0,OTHER,0.000453,0.999547,
NCU02125T0,OTHER,0.001001,0.998999,
NCU02124T1,OTHER,0.0021219999999999998,0.997878,
NCU02124T0,OTHER,0.00045700000000000005,0.9995430000000001,
NCU02123T0,OTHER,0.010357,0.989643,
NCU02122T0,OTHER,0.000722,0.9992780000000001,
NCU02121T1,OTHER,0.00033999999999999997,0.99966,
NCU02121T0,OTHER,0.000379,0.9996209999999999,
NCU10232T0,OTHER,0.000869,0.999131,
NCU02120T0,OTHER,0.001446,0.998554,
NCU02119T0,SP(Sec/SPI),0.5481199999999999,0.45188,CS pos: 29-30. VES-HQ. Pr: 0.4553
NCU02118T0,OTHER,0.001846,0.9981540000000001,
NCU02117T0,OTHER,0.09955,0.90045,
NCU02116T0,OTHER,0.002578,0.9974219999999999,
NCU02115T0,OTHER,0.006952,0.9930479999999999,
NCU02114T0,OTHER,0.000576,0.999424,
NCU16332T0,OTHER,0.00064,0.99936,
NCU02113T0,OTHER,0.001557,0.9984430000000001,
NCU02112T0,OTHER,0.00085,0.99915,
NCU02111T0,OTHER,0.000848,0.999152,
NCU02110T0,OTHER,0.015934999999999998,0.984065,
NCU02109T0,OTHER,0.000466,0.999534,
NCU02108T0,OTHER,0.001644,0.9983559999999999,
NCU02107T0,OTHER,0.000699,0.999301,
NCU02106T0,OTHER,0.0009050000000000001,0.9990950000000001,
NCU02105T0,OTHER,0.00023999999999999998,0.99976,
NCU02105T1,OTHER,0.00023999999999999998,0.99976,
NCU02104T0,OTHER,0.0008550000000000001,0.9991450000000001,
NCU02103T0,OTHER,0.00115,0.99885,
NCU11212T0,OTHER,0.003776,0.996224,
NCU11211T0,OTHER,0.004222999999999999,0.995777,
NCU16333T0,OTHER,0.028175,0.971825,
NCU02101T0,OTHER,0.0025239999999999998,0.997476,
NCU02100T0,OTHER,0.001491,0.998509,
NCU11041T0,OTHER,0.000437,0.9995629999999999,
NCU02099T0,SP(Sec/SPI),0.9529709999999999,0.047029,CS pos: 19-20. ALA-LV. Pr: 0.7701
NCU02098T0,OTHER,0.0009,0.9991,
NCU02097T0,OTHER,0.00042699999999999997,0.9995729999999999,
NCU02096T0,OTHER,0.001545,0.998455,
NCU02095T0,OTHER,0.0013460000000000002,0.998654,
NCU02094T1,OTHER,0.000891,0.999109,
NCU02094T0,OTHER,0.000891,0.999109,
NCU02092T0,OTHER,0.001924,0.9980760000000001,
NCU02091T0,SP(Sec/SPI),0.83991,0.16009,CS pos: 35-36. AGA-MR. Pr: 0.6771
NCU02090T0,OTHER,0.001227,0.9987729999999999,
NCU16334T0,OTHER,0.009120999999999999,0.9908790000000001,
NCU02089T0,OTHER,0.000668,0.999332,
NCU02088T0,OTHER,0.00247,0.9975299999999999,
NCU02087T0,SP(Sec/SPI),0.9861629999999999,0.013837,CS pos: 19-20. VVA-AP. Pr: 0.7866
NCU02086T0,OTHER,0.002321,0.9976790000000001,
NCU10903T0,OTHER,0.001541,0.998459,
NCU02085T0,OTHER,0.000321,0.9996790000000001,
NCU02084T0,OTHER,0.183995,0.816005,
NCU02083T0,OTHER,0.000672,0.9993280000000001,
NCU02082T0,OTHER,0.0032359999999999997,0.996764,
NCU02081T0,OTHER,0.0011380000000000001,0.998862,
NCU11210T0,OTHER,0.000795,0.9992049999999999,
NCU02080T0,OTHER,0.013265,0.986735,
NCU02079T0,OTHER,0.00079,0.99921,
NCU02078T0,OTHER,0.00119,0.9988100000000001,
NCU02077T0,OTHER,0.001219,0.9987809999999999,
NCU02076T0,OTHER,0.000784,0.999216,
NCU02075T0,OTHER,0.000851,0.999149,
NCU02074T0,SP(Sec/SPI),0.992856,0.007144,CS pos: 22-23. AQC-KS. Pr: 0.8551
NCU02073T0,OTHER,0.002154,0.9978459999999999,
NCU02071T0,OTHER,0.000714,0.999286,
NCU02070T0,OTHER,0.002499,0.997501,
NCU16336T0,OTHER,0.015286000000000001,0.984714,
NCU16337T0,OTHER,0.0012519999999999999,0.998748,
NCU02068T1,OTHER,0.000242,0.999758,
NCU02068T0,OTHER,0.000242,0.999758,
NCU02067T0,OTHER,0.0006389999999999999,0.999361,
NCU11209T0,OTHER,0.000579,0.9994209999999999,
NCU02066T0,OTHER,0.001952,0.9980479999999999,
NCU02065T0,OTHER,0.000269,0.9997309999999999,
NCU02064T0,OTHER,0.4144,0.5856,
NCU02063T0,OTHER,0.001206,0.9987940000000001,
NCU02062T0,OTHER,0.0009480000000000001,0.999052,
NCU02061T0,OTHER,0.16231700000000002,0.837683,
NCU02060T0,OTHER,0.0017519999999999999,0.9982479999999999,
NCU02059T0,SP(Sec/SPI),0.9816590000000001,0.018341,CS pos: 21-22. VAG-DP. Pr: 0.6770
NCU02058T0,OTHER,0.002934,0.997066,
NCU02057T0,OTHER,0.0014119999999999998,0.9985879999999999,
NCU02057T1,OTHER,0.0014119999999999998,0.9985879999999999,
NCU02056T0,OTHER,0.00038700000000000003,0.999613,
NCU02055T0,OTHER,0.001255,0.9987450000000001,
NCU02054T0,OTHER,0.000426,0.999574,
NCU02053T0,OTHER,0.0009449999999999999,0.9990549999999999,
NCU02052T1,OTHER,0.001322,0.9986780000000001,
NCU02052T0,OTHER,0.001322,0.9986780000000001,
NCU10806T0,OTHER,0.001433,0.998567,
NCU02051T0,OTHER,0.000599,0.999401,
NCU02049T0,OTHER,0.0012230000000000001,0.998777,
NCU02048T0,OTHER,0.022615,0.9773850000000001,
NCU02046T0,OTHER,0.14012,0.85988,
NCU02044T0,OTHER,0.001018,0.9989819999999999,
NCU02043T0,OTHER,0.0026,0.9974,
NCU02042T0,OTHER,0.074934,0.9250659999999999,
NCU02041T0,SP(Sec/SPI),0.9985870000000001,0.001413,CS pos: 19-20. VAA-QS. Pr: 0.4053
NCU02040T0,OTHER,0.006207,0.993793,
NCU02039T0,OTHER,0.000466,0.999534,
NCU02038T0,OTHER,0.00671,0.99329,
NCU02037T0,OTHER,0.0016710000000000002,0.9983290000000001,
NCU02036T0,OTHER,0.000786,0.9992139999999999,
NCU02035T0,OTHER,0.0010710000000000001,0.9989290000000001,
NCU02034T0,OTHER,0.00016299999999999998,0.9998370000000001,
NCU02033T0,OTHER,0.001583,0.998417,
NCU02032T0,SP(Sec/SPI),0.846196,0.153804,CS pos: 27-28. VIA-GY. Pr: 0.4923
NCU02031T0,OTHER,0.140153,0.8598469999999999,
NCU02030T0,OTHER,0.00011499999999999999,0.999885,
NCU02029T0,OTHER,0.001523,0.9984770000000001,
NCU02028T0,SP(Sec/SPI),0.858924,0.141076,CS pos: 31-32. STA-RG. Pr: 0.3670
NCU02027T0,OTHER,0.013872999999999998,0.9861270000000001,
NCU02026T0,OTHER,0.001513,0.9984870000000001,
NCU02025T0,OTHER,0.00045599999999999997,0.9995440000000001,
NCU02024T0,OTHER,0.0008849999999999999,0.999115,
NCU02023T0,OTHER,0.0008179999999999999,0.999182,
NCU02022T0,OTHER,0.000925,0.999075,
NCU02021T0,SP(Sec/SPI),0.9812620000000001,0.018738,CS pos: 20-21. GLA-LP. Pr: 0.8067
NCU02020T0,OTHER,0.0038130000000000004,0.996187,
NCU02019T0,OTHER,0.013831999999999999,0.986168,
NCU02018T0,OTHER,0.001175,0.998825,
NCU02017T0,OTHER,0.000462,0.9995379999999999,
NCU02016T0,OTHER,0.000713,0.999287,
NCU02015T0,OTHER,0.0011279999999999999,0.998872,
NCU02014T0,OTHER,0.002704,0.997296,
NCU02013T0,OTHER,0.000782,0.999218,
NCU02012T0,OTHER,0.001623,0.9983770000000001,
NCU02011T0,OTHER,0.001184,0.998816,
NCU02010T0,OTHER,0.000542,0.999458,
NCU02009T0,OTHER,0.003206,0.9967940000000001,
NCU02008T0,OTHER,0.010725,0.989275,
NCU02007T0,OTHER,0.000505,0.999495,
NCU02006T0,OTHER,0.001715,0.9982850000000001,
NCU02005T0,OTHER,0.005845,0.9941549999999999,
NCU02004T0,OTHER,0.0008,0.9992,
NCU02003T0,OTHER,0.000558,0.999442,
NCU02002T0,OTHER,0.0033060000000000003,0.9966940000000001,
NCU02001T0,OTHER,0.001482,0.998518,
NCU02000T0,OTHER,0.000543,0.9994569999999999,
NCU01999T0,OTHER,0.000604,0.999396,
NCU01998T0,OTHER,0.0007570000000000001,0.999243,
NCU01997T0,OTHER,0.001297,0.9987030000000001,
NCU01996T0,SP(Sec/SPI),0.9061030000000001,0.09389700000000001,CS pos: 22-23. TLA-TI. Pr: 0.5038
NCU01995T0,OTHER,0.0008759999999999999,0.999124,
NCU01994T1,OTHER,0.001281,0.998719,
NCU01994T0,OTHER,0.001281,0.998719,
NCU01993T0,OTHER,0.000424,0.999576,
NCU01992T0,OTHER,0.001578,0.9984219999999999,
NCU01991T0,OTHER,0.001766,0.9982340000000001,
NCU01990T0,SP(Sec/SPI),0.871007,0.128993,CS pos: 18-19. VIA-QS. Pr: 0.3485
NCU01989T0,OTHER,0.001661,0.998339,
NCU01988T0,SP(Sec/SPI),0.9779899999999999,0.02201,CS pos: 25-26. VSA-DE. Pr: 0.7328
NCU01987T0,OTHER,0.001467,0.998533,
NCU16341T0,OTHER,0.013255000000000001,0.9867450000000001,
NCU01985T0,OTHER,0.000394,0.999606,
NCU01984T0,OTHER,0.000576,0.999424,
NCU01983T1,OTHER,0.001737,0.9982629999999999,
NCU01983T0,OTHER,0.001737,0.9982629999999999,
NCU01982T0,OTHER,0.000786,0.9992139999999999,
NCU01981T0,OTHER,0.000544,0.9994559999999999,
NCU01980T0,OTHER,0.0017280000000000002,0.9982719999999999,
NCU01979T0,OTHER,0.001235,0.998765,
NCU01978T0,SP(Sec/SPI),0.995527,0.0044729999999999995,CS pos: 25-26. SAA-DQ. Pr: 0.8586
